Name	Latitude	Longitude
Morocco	28.5	-10
Israel	31.5	34.75
Gaza	31.50161	34.46672
Rabat	34.01325	-6.83255
United States	39.76	-98.5
the United Arab Emirates	45.16002	-121.16778
UAE	12.26667	-14.7
Bahrain	26.03333	50.55
Sudan	16	30
US	49.1	1.96667
Western Sahara	10.01211	105.83224
Washington	47.50012	-120.50147
Tel Aviv	32.08088	34.78057
Algeria	28	3
Marrakesh	31.63416	-7.99994
the Western Sahara	-33.21645	146.45597
Morocco’s	NA	NA
Maghreb	30	5
Ukraine	49	32
Saudi Arabia	25	45
California	37.25022	-119.75126
West Bank	19.38197	-81.39281
Dena	28.44289	90.28327
Israel’s	NA	NA
Oakland	37.80437	-122.2708
the United States	34.31336	-79.63717
South Africa	26.5	-81
Jordan	31	36
Jerusalem	31.76904	35.21633
East Jerusalem	31.78336	35.23388
Egypt	27	30
Qatar	25.5	51.25
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Palestine	31.92157	35.20329
Indonesia’s	NA	NA
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
London	51.50853	-0.12574
Paris	48.85341	2.3488
Vienna	48.20849	16.37208
Berlin	52.52437	13.41053
Amman	31.95522	35.94503
Washington DC	47.50012	-120.50147
UK	54.75844	-2.69531
Manchester	42.99564	-71.45479
Yemen	15.5	47.5
Washington, DC	38.89511	-77.03637
India	22	79
Hyderabad	17.38405	78.45636
Colombo’s Kollupitiya	NA	NA
Namibia	-22	17
Germany	51.5	10.5
Palestinian Territories	31.92157	35.20329
Sweden	62	15
Iran	32	53
Kerman	30.28321	57.07879
Lebanon	33.83333	35.83333
Bethlehem	40.62593	-75.37046
Nairoukh	NA	NA
China	35	105
Italy	42.83333	12.83333
Spain	40	-4
Turkey	39	35
Shawawra	NA	NA
The Hague	52.07667	4.29861
South Africa’s	26.5	-81
the Gaza Strip	-26.25	28
Khan Younis	31.34018	34.30627
Syria	35	38
Mazzeh	NA	NA
Damascus	33.5102	36.29128
U.S.	39.76	-98.5
Houthis’	NA	NA
the Red Sea	-20.03085	45.695
the Bab-el-Mandeb Strait	31.24938	-97.53052
the Gulf of Aden	-33.21645	146.45597
Sanaa	15.35472	44.20667
the United Kingdom	57.27694	-133.65278
Hodeidah	14.79781	42.95452
Taiz	13.57952	44.02091
Dhamar	14.54274	44.40514
al-Bayda	13.98523	45.57272
Saada	16.94021	43.76393
the Arabian Sea	57.05838	-3.7259
the Bab al-Mandeb Strait	31.24938	-97.53052
Asia	29.84064	89.29688
Europe	48.69096	9.14062
Kuwait	29.5	47.75
Middle East	33.13906	35.85869
Ankara	39.91987	32.85427
Red Sea	52.26682	-113.802
United Kingdom	54.75844	-2.69531
West	42.77268	-116.9579
Tehran	35.69439	51.42151
the Middle East	-10.42172	105.67912
